date,KOPF,KHWO,KFLL,KFXE
201701290620.00,0,0,0,0
201701290621.00,0,0,0,0
201701290622.00,0,0,0,0
201701290623.00,0,0,0,0
201701290624.00,0,0,0,0
201701290625.00,0,0,0,0
201701290626.00,0,0,0,0
201701290627.00,0,0,0,0
201701290628.00,0,0,0,0
201701290629.00,0,0,0,0
201701290630.00,0,0,0,0
201701290631.00,0,0,0,0
201701290632.00,0,0,0,0
201701290633.00,0,0,0,0
201701290634.00,0,0,0,0
201701290635.00,0,0,0,0
201701290636.00,0,0,0,0
201701290637.00,0,0,0,0
201701290638.00,0,0,0,0
201701290639.00,0,0,0,0
201701290640.00,0,0,0,0
201701290641.00,0,0,0,0
201701290642.00,0,0,0,0
201701290643.00,0,0,0,0
201701290644.00,0,0,0,0
201701290645.00,0,0,0,0
201701290646.00,0,0,0,0
201701290647.00,0,0,0,0
201701290648.00,0,0,0,0
201701290649.00,0,0,0,0
201701290650.00,0,0,0,0
201701290651.00,0,0.01,0,0
201701290652.00,0,0,0,0
201701290653.00,0,0,0,0
201701290654.00,0,0,0,0.01
201701290655.00,0,0,0,0
201701290656.00,0,0,0,0
201701290657.00,0,0,0,0
201701290658.00,0,0,0,0
201701290659.00,0,0,0,0
201701290700.00,0,0,0,0
201701290701.00,0,0,0,0
201701290702.00,0,0,0.01,0
201701290703.00,0,0,0,0
201701290704.00,0,0,0,0
201701290705.00,0,0,0,0
201701290706.00,0,0,0,0
201701290707.00,0,0,0,0
201701290708.00,0,0,0,0
201701290709.00,0,0,0,0
201701290710.00,0,0,0,0
201701290711.00,0,0,0,0
201701290712.00,0,0,0,0
201701290713.00,0,0,0,0
201701290714.00,0,0,0,0
201701290715.00,0,0,0,0
201701290716.00,0,0,0,0
201701290717.00,0,0,0,0
201701290718.00,0,0,0,0
201701290719.00,0,0,0,0
201701290720.00,0,0,0,0
201701290721.00,0,0,0,0
201701290722.00,0,0,0,0
201701290723.00,0,0,0,0
201701290724.00,0,0,0,0
201701290725.00,0,0,0,0
201701290726.00,0,0,0,0
201701290727.00,0,0,0,0
201701290728.00,0,0,0,0
201701290729.00,0,0,0,0
201701290730.00,0,0,0,0
201701290731.00,0,0,0,0
201701290732.00,0,0,0,0
201701290733.00,0,0,0,0
201701290734.00,0,0,0,0
201701290735.00,0,0,0,0
201701290736.00,0,0,0,0
201701290737.00,0,0,0,0
201701290738.00,0,0,0,0
201701290739.00,0,0,0,0
201701290740.00,0,0,0,0
201701290741.00,0,0,0,0
201701290742.00,0,0,0,0
201701290743.00,0,0,0,0
201701290744.00,0,0,0,0
201701290745.00,0,0,0,0
201701290746.00,0,0,0,0
201701290747.00,0,0,0,0
201701290748.00,0,0,0,0
201701290749.00,0,0,0,0
201701290750.00,0,0,0,0
201701290751.00,0,0,0,0
201701290752.00,0,0,0,0
201701290753.00,0,0,0,0
201701290754.00,0,0,0,0
201701290755.00,0,0,0,0
201701290756.00,0,0,0,0
201701290757.00,0,0,0,0
201701290758.00,0,0,0,0
201701290759.00,0,0,0,0
201701290800.00,0,0,0,0
201701290801.00,0,0,0,0
201701290802.00,0,0,0,0
201701290803.00,0,0,0,0
201701290804.00,0,0,0,0
201701290805.00,0,0,0,0
201701290806.00,0,0,0,0
201701290807.00,0,0,0,0
201701290808.00,0,0,0,0
201701290809.00,0,0,0,0
201701290810.00,0,0,0,0
201701290811.00,0,0,0,0
201701290812.00,0,0.01,0,0
201701290813.00,0,0,0,0
201701290814.00,0,0,0,0
201701290815.00,0,0,0,0
201701290816.00,0,0,0,0
201701290817.00,0,0,0,0
201701290818.00,0,0,0,0
201701290819.00,0,0,0,0
201701290820.00,0,0,0,0
201701290821.00,0,0,0,0
201701290822.00,0,0,0,0
201701290823.00,0,0,0,0
201701290824.00,0,0,0,0
201701290825.00,0,0,0,0
201701290826.00,0,0,0,0
201701290827.00,0,0,0,0
201701290828.00,0,0,0,0
201701290829.00,0,0,0,0
201701290830.00,0,0,0,0
201701290831.00,0,0,0,0
201701290832.00,0,0.01,0,0
201701290833.00,0,0,0,0
201701290834.00,0,0,0,0
201701290835.00,0,0,0,0
201701290836.00,0,0,0,0
201701290837.00,0,0,0,0
201701290838.00,0,0,0,0
201701290839.00,0,0,0,0
201701290840.00,0,0,0,0
201701290841.00,0,0,0,0
201701290842.00,0,0,0,0
201701290843.00,0,0,0,0
201701290844.00,0,0,0,0
201701290845.00,0,0,0,0.01
201701290846.00,0,0,0,0
201701290847.00,0,0,0,0
201701290848.00,0,0,0,0
201701290849.00,0,0,0,0
201701290850.00,0,0,0,0
201701290851.00,0,0,0,0
201701290852.00,0,0,0,0
201701290853.00,0,0,0,0
201701290854.00,0,0,0,0
201701290855.00,0,0,0,0
201701290856.00,0,0,0,0
201701290857.00,0,0,0,0.01
201701290858.00,0,0,0,0
201701290859.00,0,0,0,0
201701290900.00,0,0,0,0
201701290901.00,0,0,0,0
201701290902.00,0,0,0,0
201701290903.00,0,0,0,0
201701290904.00,0,0,0,0
201701290905.00,0,0,0,0
201701290906.00,0,0,0,0
201701290907.00,0,0,0,0
201701290908.00,0,0,0,0
201701290909.00,0,0,0,0
201701290910.00,0,0,0,0
201701290911.00,0,0,0,0
201701290912.00,0,0,0,0
201701290913.00,0,0,0,0
201701290914.00,0,0,0,0
201701290915.00,0,0,0,0
201701290916.00,0,0,0,0
201701290917.00,0,0,0,0
201701290918.00,0,0,0,0
201701290919.00,0,0,0,0
201701290920.00,0,0,0,0
201701290921.00,0,0,0,0
201701290922.00,0,0,0,0
201701290923.00,0,0,0,0
201701290924.00,0,0,0,0
201701290925.00,0,0,0,0
201701290926.00,0,0,0,0
201701290927.00,0,0,0,0
201701290928.00,0,0,0,0
201701290929.00,0,0,0,0
201701290930.00,0,0,0,0
201701290931.00,0,0,0,0
201701290932.00,0,0,0,0
201701290933.00,0,0,0,0
201701290934.00,0,0,0,0
201701290935.00,0,0,0,0
201701290936.00,0,0,0,0
201701290937.00,0,0,0,0
201701290938.00,0,0,0,0
201701290939.00,0,0,0,0
201701290940.00,0,0,0,0
201701290941.00,0,0,0,0
201701290942.00,0,0,0,0
201701290943.00,0,0,0,0
201701290944.00,0,0,0,0
201701290945.00,0,0,0,0
201701290946.00,0.01,0,0,0
201701290947.00,0,0,0,0
201701290948.00,0,0,0,0
201701290949.00,0,0,0,0
201701290950.00,0,0,0,0
201701290951.00,0,0,0.01,0
201701290952.00,0,0,0,0
201701290953.00,0,0,0,0
201701290954.00,0.01,0,0,0
201701290955.00,0,0,0.01,0
201701290956.00,0,0,0,0
201701290957.00,0,0,0,0
201701290958.00,0,0,0,0
201701290959.00,0,0,0,0
201701291000.00,0,0,0,0
201701291001.00,0,0,0,0
201701291002.00,0,0,0,0
201701291003.00,0,0,0,0
201701291004.00,0,0,0,0
201701291005.00,0,0,0,0
201701291006.00,0.01,0,0,0
201701291007.00,0,0,0,0.01
201701291008.00,0,0,0,0
201701291009.00,0,0,0,0
201701291010.00,0,0,0,0
201701291011.00,0,0,0,0
201701291012.00,0,0,0,0
201701291013.00,0.01,0,0,0
201701291014.00,0,0,0,0
201701291015.00,0,0,0,0
201701291016.00,0,0,0,0
201701291017.00,0,0,0,0
201701291018.00,0,0,0,0
201701291019.00,0,0,0,0
201701291020.00,0,0,0,0
201701291021.00,0,0,0,0
201701291022.00,0,0,0,0
201701291023.00,0.01,0,0,0
201701291024.00,0,0,0,0
201701291025.00,0,0,0,0
201701291026.00,0,0,0,0
201701291027.00,0,0,0,0
201701291028.00,0,0,0,0
201701291029.00,0,0,0,0
201701291030.00,0,0,0,0
201701291031.00,0,0,0,0
201701291032.00,0,0,0,0
201701291033.00,0,0,0,0
201701291034.00,0.01,0,0,0
201701291035.00,0,0,0,0
201701291036.00,0,0.01,0,0
201701291037.00,0,0,0,0
201701291038.00,0,0,0,0
201701291039.00,0,0,0,0
201701291040.00,0,0,0,0
201701291041.00,0,0,0,0
201701291042.00,0,0,0,0
201701291043.00,0,0.01,0,0
201701291044.00,0,0,0,0
201701291045.00,0.01,0,0,0
201701291046.00,0,0,0,0
201701291047.00,0,0,0,0
201701291048.00,0,0.01,0,0
201701291049.00,0,0,0,0
201701291050.00,0,0,0,0
201701291051.00,0,0,0,0
201701291052.00,0,0,0,0
201701291053.00,0,0.01,0,0
201701291054.00,0,0,0,0
201701291055.00,0,0,0,0
201701291056.00,0,0,0.01,0
201701291057.00,0,0,0,0
201701291058.00,0,0.01,0,0
201701291059.00,0,0,0,0
201701291100.00,0,0,0,0.01
201701291101.00,0,0.01,0,0
201701291102.00,0,0,0,0
201701291103.00,0,0,0.01,0
201701291104.00,0,0,0,0
201701291105.00,0,0,0,0
201701291106.00,0,0,0,0
201701291107.00,0,0,0,0
201701291108.00,0,0,0,0
201701291109.00,0.01,0.01,0,0
201701291110.00,0,0,0,0
201701291111.00,0,0,0.01,0
201701291112.00,0,0,0,0
201701291113.00,0,0,0,0.01
201701291114.00,0,0,0,0
201701291115.00,0,0.01,0,0
201701291116.00,0.01,0,0,0
201701291117.00,0,0,0,0
201701291118.00,0,0,0.01,0
201701291119.00,0,0,0,0
201701291120.00,0,0,0,0
201701291121.00,0,0,0,0
201701291122.00,0.01,0,0,0
201701291123.00,0,0,0,0
201701291124.00,0,0,0,0
201701291125.00,0,0,0,0
201701291126.00,0.01,0.01,0,0
201701291127.00,0,0,0,0
201701291128.00,0,0,0,0
201701291129.00,0.01,0,0,0.01
201701291130.00,0,0,0.01,0
201701291131.00,0,0,0,0
201701291132.00,0,0,0,0
201701291133.00,0,0,0,0
201701291134.00,0.01,0,0,0
201701291135.00,0,0,0,0
201701291136.00,0,0,0,0
201701291137.00,0,0,0,0
201701291138.00,0,0,0.01,0
201701291139.00,0,0,0,0
201701291140.00,0.01,0,0,0
201701291141.00,0,0,0,0
201701291142.00,0,0.01,0,0
201701291143.00,0,0,0,0
201701291144.00,0,0,0,0
201701291145.00,0,0,0,0
201701291146.00,0,0,0,0
201701291147.00,0,0,0,0
201701291148.00,0,0,0,0
201701291149.00,0,0,0,0
201701291150.00,0,0.01,0,0.01
201701291151.00,0,0,0,0
201701291152.00,0,0,0,0
201701291153.00,0,0,0.01,0
201701291154.00,0,0,0,0
201701291155.00,0,0,0,0.01
201701291156.00,0,0,0,0
201701291157.00,0,0,0,0
201701291158.00,0,0,0,0.01
201701291159.00,0,0,0,0
201701291200.00,0,0,0,0.01
201701291201.00,0,0,0.01,0
201701291202.00,0.01,0,0,0
201701291203.00,0,0,0,0.01
201701291204.00,0,0,0,0
201701291205.00,0,0,0,0
201701291206.00,0,0,0,0.01
201701291207.00,0,0,0,0
201701291208.00,0,0,0,0
201701291209.00,0,0.01,0,0
201701291210.00,0,0,0,0
201701291211.00,0,0,0,0.01
201701291212.00,0,0,0,0
201701291213.00,0,0,0,0
201701291214.00,0,0.01,0,0.01
201701291215.00,0,0,0,0
201701291216.00,0,0,0.01,0
201701291217.00,0,0.01,0,0
201701291218.00,0,0,0,0
201701291219.00,0,0,0,0
201701291220.00,0,0.01,0,0
201701291221.00,0,0,0,0
201701291222.00,0,0,0,0
201701291223.00,0,0.01,0,0
201701291224.00,0,0,0,0.01
201701291225.00,0,0,0,0
201701291226.00,0.01,0,0,0
201701291227.00,0,0.01,0,0
201701291228.00,0,0,0,0
201701291229.00,0,0,0,0
201701291230.00,0,0,0,0.01
201701291231.00,0,0.01,0,0
201701291232.00,0,0,0,0
201701291233.00,0.01,0,0,0
201701291234.00,0,0.01,0.01,0
201701291235.00,0,0,0,0
201701291236.00,0,0,0,0.01
201701291237.00,0,0.01,0,0
201701291238.00,0,0,0.01,0
201701291239.00,0,0,0,0
201701291240.00,0,0,0,0
201701291241.00,0,0,0.01,0.01
201701291242.00,0,0,0,0
201701291243.00,0.01,0.01,0,0
201701291244.00,0,0,0,0
201701291245.00,0,0,0.01,0
201701291246.00,0,0,0,0
201701291247.00,0,0,0,0
201701291248.00,0,0,0,0
201701291249.00,0.01,0,0.01,0
201701291250.00,0,0,0,0
201701291251.00,0,0,0,0
201701291252.00,0,0,0,0
201701291253.00,0,0,0.01,0
201701291254.00,0.01,0,0,0
201701291255.00,0,0,0,0
201701291256.00,0,0,0,0
201701291257.00,0,0.01,0,0
201701291258.00,0,0,0,0
201701291259.00,0.01,0,0,0
201701291300.00,0,0,0,0
201701291301.00,0,0,0,0
201701291302.00,0,0,0,0
201701291303.00,0,0,0,0
201701291304.00,0,0,0.01,0
201701291305.00,0.01,0,0,0.01
201701291306.00,0,0,0,0
201701291307.00,0,0,0,0
201701291308.00,0,0,0,0
201701291309.00,0,0,0,0
201701291310.00,0,0,0,0.01
201701291311.00,0,0,0,0
201701291312.00,0,0,0,0
201701291313.00,0,0,0,0
201701291314.00,0,0,0,0
201701291315.00,0,0,0,0
201701291316.00,0,0,0,0
201701291317.00,0,0,0,0
201701291318.00,0,0,0,0
201701291319.00,0,0,0,0
201701291320.00,0,0,0,0
201701291321.00,0,0,0,0
201701291322.00,0,0,0,0
201701291323.00,0,0,0,0
201701291324.00,0,0,0,0.01
201701291325.00,0,0,0,0
201701291326.00,0,0,0,0
201701291327.00,0,0,0,0
201701291328.00,0,0,0,0
201701291329.00,0,0,0,0
201701291330.00,0,0,0,0
201701291331.00,0,0,0,0
201701291332.00,0,0,0,0
201701291333.00,0,0,0,0
201701291334.00,0,0,0,0
201701291335.00,0,0,0,0
201701291336.00,0,0,0,0
201701291337.00,0,0,0,0
201701291338.00,0,0,0,0
201701291339.00,0,0,0,0
201701291340.00,0,0,0,0
201701291341.00,0,0,0,0
201701291342.00,0.01,0,0,0
201701291343.00,0,0,0,0
201701291344.00,0,0.01,0.01,0
201701291345.00,0,0,0,0
201701291346.00,0,0,0,0
201701291347.00,0,0,0,0
201701291348.00,0,0,0,0
201701291349.00,0.01,0,0,0
201701291350.00,0,0,0,0.01
201701291351.00,0,0,0,0
201701291352.00,0,0,0,0
201701291353.00,0,0,0,0
201701291354.00,0.01,0,0,0
201701291355.00,0,0.01,0,0
201701291356.00,0,0,0,0
201701291357.00,0,0,0,0
201701291358.00,0,0,0,0
201701291359.00,0.01,0,0,0
201701291400.00,0,0,0,0.01
201701291401.00,0,0,0,0
201701291402.00,0,0,0,0
201701291403.00,0.01,0.01,0,0
201701291404.00,0,0,0,0
201701291405.00,0.01,0,0,0
201701291406.00,0,0,0,0
201701291407.00,0,0,0,0
201701291408.00,0,0,0,0
201701291409.00,0.01,0,0,0
201701291410.00,0,0,0,0
201701291411.00,0,0,0,0
201701291412.00,0,0,0,0
201701291413.00,0,0,0.01,0
201701291414.00,0,0,0,0
201701291415.00,0.01,0,0,0
201701291416.00,0,0,0,0
201701291417.00,0,0,0,0
201701291418.00,0,0,0,0.01
201701291419.00,0,0,0,0
201701291420.00,0,0,0,0
201701291421.00,0,0,0,0
201701291422.00,0,0,0,0
201701291423.00,0,0,0,0
201701291424.00,0,0,0,0
201701291425.00,0,0,0,0
201701291426.00,0.01,0,0,0
201701291427.00,0,0,0,0
201701291428.00,0,0,0,0
201701291429.00,0,0,0,0
201701291430.00,0,0,0,0
201701291431.00,0,0,0,0
201701291432.00,0,0,0,0
201701291433.00,0,0.01,0,0
201701291434.00,0,0,0.01,0
201701291435.00,0,0,0,0
201701291436.00,0,0,0,0
201701291437.00,0,0,0,0
201701291438.00,0.01,0,0,0
201701291439.00,0,0,0,0
201701291440.00,0,0,0,0
